session_id,session_date,city,centre,support_topic,age_band,access_mode,wait_minutes,session_minutes,resolved,follow_up_needed,satisfaction_score,staff_role,resolved_clean,follow_up_needed_clean,session_date_clean,report_month,wait_minutes_clean,session_minutes_clean,satisfaction_score_clean,flag_invalid_wait,flag_invalid_duration,flag_invalid_satisfaction,flag_invalid_date,flag_followup_contradiction,flag_repeated_id,notes_raw,notes_clean
SES-0001,2026-01-01,Copenhagen,Library Hub,Digital ID,18–29,Own device,14.0,68.5,No,Yes,5.0,Volunteer,No,Yes,2026-01-01,2026-01,14.0,68.5,5.0,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0002,2026-01-06,Aalborg,Library Hub,Digital ID,30–44,Centre device,23.9,39.7,Yes,No,4.1,Advisor,Yes,No,2026-01-06,2026-01,23.9,39.7,4.1,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0003,2026-01-11,Odense,Library Hub,Digital ID,45–59,Phone support,10.1,14.1,No,Yes,4.7,Librarian,No,Yes,2026-01-11,2026-01,10.1,14.1,4.7,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0004,2026-01-16,Aarhus,Library Hub,Digital ID,60+,Own device,15.3,35.6,Yes,No,3.8,Volunteer,Yes,No,2026-01-16,2026-01,15.3,35.6,3.8,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0005,2026-01-21,Copenhagen,Citizen Centre,Digital ID,18–29,Centre device,8.6,31.0,No,No,4.9,Advisor,No,No,2026-01-21,2026-01,8.6,31.0,4.9,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0006,2026-01-26,Aarhus,Citizen Centre,Online Benefits,30–44,Phone support,10.1,39.9,No,Yes,3.5,Librarian,No,Yes,2026-01-26,2026-01,10.1,39.9,3.5,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0007,2026-01-04,Odense,Citizen Centre,Online Benefits,45–59,Own device,5.8,45.0,No,Yes,4.5,Volunteer,No,Yes,2026-01-04,2026-01,5.8,45.0,4.5,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0008,2026-01-09,Aarhus,Citizen Centre,Online Benefits,60+,Centre device,8.8,13.9,No,Yes,3.3,Advisor,No,Yes,2026-01-09,2026-01,8.8,13.9,3.3,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
SES-0009,2026-01-14,Copenhagen,Community Lab,Online Benefits,18–29,Phone support,15.2,15.7,Yes,No,3.2,Librarian,Yes,No,2026-01-14,2026-01,15.2,15.7,3.2,No,No,No,No,No,No,The form was not easy to find.,form not easy find
SES-0010,2026-01-19,Aalborg,Community Lab,Online Benefits,30–44,Own device,0.0,30.0,Yes,No,5.0,Volunteer,Yes,No,2026-01-19,2026-01,0.0,30.0,5.0,No,No,No,No,No,No,No follow-up needed after the session.,no follow up needed after session
SES-0011,2026-01-24,Odense,Community Lab,Job Portal,45–59,Centre device,16.3,50.7,Yes,No,3.7,Advisor,Yes,No,2026-01-24,2026-01,16.3,50.7,3.7,No,No,No,No,No,No,Staff explained email attachments and document upload.,staff explained email attachments document upload
SES-0012,2026-01-02,Aarhus,Library Hub,Job Portal,60+,Own device,15.5,44.8,No,No,4.0,Librarian,No,No,2026-01-02,2026-01,15.5,44.8,4.0,No,No,No,No,No,No,Connection failed and another visit was needed.,connection failed another visit needed
SES-0013,2026-01-07,Copenhagen,Mobile Desk,Job Portal,18–29,Centre device,18.7,22.2,Yes,No,3.9,Volunteer,Yes,No,2026-01-07,2026-01,18.7,22.2,3.9,No,No,No,No,No,No,User needed clear steps for digital login.,user needed clear steps digital login
SES-0014,2026-01-12,Aalborg,Mobile Desk,Job Portal,30–44,Phone support,20.2,39.8,Yes,No,4.1,Advisor,Yes,No,2026-01-12,2026-01,20.2,39.8,4.1,No,No,No,No,No,No,Issue resolved after password guidance.,issue resolved after password guidance
