task_id,task_date,city,organisation_unit,task_type,execution_mode,minutes_spent,errors_found,human_review,outcome,confidence_rating,staff_sentiment,tool_version,human_review_clean,task_date_clean,report_month,minutes_spent_clean,errors_found_clean,confidence_rating_clean,flag_invalid_minutes,flag_invalid_errors,flag_invalid_confidence,flag_invalid_date,flag_high_error_no_review,flag_repeated_id,comment_raw,comment_clean
TASK-0001,2026-01-01,Copenhagen,Finance,Data Entry,Manual,41.3,2,No,Completed,3.5,Neutral,v1.0,No,2026-01-01,2026-01,41.3,2.0,3.5,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0002,2026-01-04,Aalborg,Finance,Data Entry,Automated,15.6,1,Yes,Completed,3.9,Neutral,v1.1,Yes,2026-01-04,2026-01,15.6,1.0,3.9,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0003,2026-01-07,Odense,Finance,Data Entry,AI-assisted,28.7,3,Yes,Completed,3.0,Neutral,v1.2,Yes,2026-01-07,2026-01,28.7,3.0,3.0,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0004,2026-01-10,Aarhus,Finance,Data Entry,Manual,40.5,0,No,Completed,4.3,Positive,v1.0,No,2026-01-10,2026-01,40.5,0.0,4.3,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0005,2026-01-13,Copenhagen,Finance,Document Check,Automated,25.3,1,Yes,Completed,3.4,Neutral,v1.1,Yes,2026-01-13,2026-01,25.3,1.0,3.4,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0006,2026-01-16,Aalborg,Citizen Services,Document Check,AI-assisted,23.7,0,Yes,Completed,4.2,Positive,v1.2,Yes,2026-01-16,2026-01,23.7,0.0,4.2,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0007,2026-01-19,Aalborg,Citizen Services,Document Check,Manual,52.6,1,No,Completed,3.9,Neutral,v1.0,No,2026-01-19,2026-01,52.6,1.0,3.9,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0008,2026-01-22,Aarhus,Citizen Services,Document Check,Automated,14.1,3,Yes,Completed,3.0,Neutral,v1.1,Yes,2026-01-22,2026-01,14.1,3.0,3.0,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0009,2026-01-25,Copenhagen,Citizen Services,Scheduling,AI-assisted,27.4,1,Yes,Completed,3.9,Neutral,v1.2,Yes,2026-01-25,2026-01,27.4,1.0,3.9,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0010,2026-01-01,Aalborg,Citizen Services,Scheduling,Automated,36.8,1,Yes,Completed,3.8,Neutral,v1.0,Yes,2026-01-01,2026-01,36.8,1.0,3.8,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0011,2026-01-04,Odense,HR,Scheduling,AI-assisted,32.8,1,Yes,Completed,3.3,Neutral,v1.1,Yes,2026-01-04,2026-01,32.8,1.0,3.3,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0012,2026-01-07,Aarhus,HR,Scheduling,Manual,71.7,3,No,Completed,3.6,Neutral,v1.2,No,2026-01-07,2026-01,71.7,3.0,3.6,No,No,No,No,No,No,The automated step failed and required manual work.,automated step failed required manual work
TASK-0013,2026-01-10,Copenhagen,Finance,Status Update,Automated,25.7,1,Yes,Completed,4.0,Positive,v1.0,Yes,2026-01-10,2026-01,25.7,1.0,4.0,No,No,No,No,No,No,The result was clear and useful.,result clear useful
TASK-0014,2026-01-13,Aalborg,HR,Status Update,AI-assisted,26.9,3,Yes,Completed,3.2,Neutral,v1.1,Yes,2026-01-13,2026-01,26.9,3.0,3.2,No,No,No,No,No,No,,
TASK-0015,2026-01-16,Odense,HR,Status Update,Manual,57.0,2,No,Completed,4.8,Positive,v1.2,No,2026-01-16,2026-01,57.0,2.0,4.8,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0016,2026-01-19,Aarhus,Procurement,Status Update,Automated,20.6,1,Yes,Completed,4.0,Positive,v1.0,Yes,2026-01-19,2026-01,20.6,1.0,4.0,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0017,2026-01-22,Copenhagen,Procurement,Email Triage,AI-assisted,18.6,1,Yes,Completed,3.8,Neutral,v1.1,Yes,2026-01-22,2026-01,18.6,1.0,3.8,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
TASK-0018,2026-01-25,Aalborg,Procurement,Email Triage,Manual,59.9,0,No,Completed,4.3,Positive,v1.2,No,2026-01-25,2026-01,59.9,0.0,4.3,No,No,No,No,No,No,Staff did not trust the first suggestion.,staff did not trust first suggestion
TASK-0019,2026-01-01,Odense,Procurement,Data Entry,AI-assisted,25.5,2,Yes,Completed,3.6,Neutral,v1.0,Yes,2026-01-01,2026-01,25.5,2.0,3.6,No,No,No,No,No,No,No error was found after review.,no error found after review
TASK-0020,2026-01-04,Aarhus,Procurement,Email Triage,Manual,25.8,2,No,Completed,3.6,Neutral,v1.1,No,2026-01-04,2026-01,25.8,2.0,3.6,No,No,No,No,No,Yes,The automated step failed and required manual work.,automated step failed required manual work
TASK-0020,2026-02-07,Copenhagen,Communications,Data Entry,Automated,25.2,3,Yes,Completed,2.8,Concerned,v1.2,Yes,2026-02-07,2026-02,25.2,3.0,2.8,No,No,No,No,No,Yes,The result was clear and useful.,result clear useful
TASK-0022,2026-02-10,Aalborg,Communications,Data Entry,AI-assisted,35.6,3,Yes,Completed,3.2,Neutral,v1.0,Yes,2026-02-10,2026-02,35.6,3.0,3.2,No,No,No,No,No,No,Human review caught an important error.,human review caught important error
TASK-0023,2026-02-13,Odense,Communications,Data Entry,Manual,44.4,1,No,Completed,3.5,Neutral,v1.1,No,2026-02-13,2026-02,44.4,1.0,3.5,No,No,No,No,No,No,The process was faster and staff felt positive.,process faster staff felt positive
TASK-0024,2026-02-16,Aarhus,Communications,Data Entry,Automated,21.8,1,Yes,Completed,4.5,Positive,v1.2,Yes,2026-02-16,2026-02,21.8,1.0,4.5,No,No,No,No,No,No,The tool was not suitable for this exception.,tool not suitable this exception
TASK-0025,2026-02-19,Copenhagen,Communications,Document Check,Automated,30.8,3,No,Completed,3.1,Neutral,v1.0,No,2026-02-19,2026-02,30.8,3.0,3.1,No,No,No,No,No,No,The task was faster but still needed human review.,task faster still needed human review
