step,column,issue,action,reason,rows_affected,possible_effect
1,All columns,Exact duplicate rows,Removed confirmed exact duplicates,Avoid double-counting identical observations,1,Changes totals if duplicates would otherwise be counted twice
2,city,Inconsistent spacing/capitalisation,Applied str.strip() and str.title(),Reduce artificial category fragmentation,4,Category counts may merge previously separated spellings
3,service_type,Inconsistent spacing/capitalisation,Applied str.strip() and str.title(),Reduce artificial category fragmentation,3,Category counts may merge previously separated spellings
4,cases_received,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,0,Unconvertible source values become missing and are excluded from many calculations
5,cases_resolved,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,0,Unconvertible source values become missing and are excluded from many calculations
6,resolution_days,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,3,Unconvertible source values become missing and are excluded from many calculations
7,satisfaction_score,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,0,Unconvertible source values become missing and are excluded from many calculations
8,digital_cases,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,0,Unconvertible source values become missing and are excluded from many calculations
9,in_person_cases,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,0,Unconvertible source values become missing and are excluded from many calculations
10,repeat_contacts,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,0,Unconvertible source values become missing and are excluded from many calculations
11,complaints_received,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,0,Unconvertible source values become missing and are excluded from many calculations
12,staff_hours,Column expected to be numeric,Converted with pd.to_numeric(errors='coerce'),Enable valid numeric calculations and expose unconvertible values,0,Unconvertible source values become missing and are excluded from many calculations
13,report_month,Month values stored as text / possible invalid date,Converted with pd.to_datetime(errors='coerce'),Enable chronological analysis and expose invalid dates,1,Invalid dates become NaT and cannot be used in time-based analysis
