record_id,report_month,city,service_type,cases_received,cases_resolved,resolution_days,satisfaction_score,feedback
1001,2026-01-01,Copenhagen,Housing,120,112,5.1,4.2,Helpful staff and clear answer
1002,2026-01-01, copenhagen ,Transport,85,90,3.2,4.6,Quick answer but the form was confusing
1003,2026-01-01,AALBORG,Housing,-3,0,8.4,3.1,Long wait for an answer
1004,2026-02-01,Koebenhavn,Employment,74,68,4.0,4.0,The guidance was clear
1004,2026-02-01,Koebenhavn,Employment,74,68,4.0,4.0,The guidance was clear
1005,2026-02-01,Aalborg,Transport,92,80,unknown,3.7,Several steps were difficult to understand
1006,2026-02-01,Copenhagen,Housing,131,125,5.8,,Helpful response after a long wait
1007,2026-03-01,Aalborg,Employment,63,59,2.9,4.8,Fast and helpful
1008,2026-03-01,Copenhagen,Transport,105,101,3.6,6.1,Very quick response
1009,2026-13-01,Aalborg,Housing,88,79,7.2,3.4,The answer solved the problem
1010,2026-03-01,Copenhagen,Employment,0,0,0.0,4.1,No cases this month
1011,2026-04-01,Aalborg,Transport,97,91,4.4,3.9,
1012,2026-04-01,Copenhagen,Housing,140,133,6.0,4.3,Clear response and friendly staff
1013,2026-04-01,Aalborg,Employment,71,65,3.7,4.0,Useful answer
1014,2026-05-01,Copenhagen,Transport,110,104,3.5,4.4,Quick and clear
1015,2026-05-01,Aalborg,Housing,95,89,5.6,3.8,Helpful but the wait was long

