task_id,task_date,city,organisation_unit,task_type,execution_mode,minutes_spent,errors_found,human_review,outcome,confidence_rating,staff_sentiment,comment,tool_version
TASK-0001,2026-01-01,Copenhagen,Finance,Data Entry,Manual,41.3,2,No,Completed,3.5,Neutral,The task was faster but still needed human review.,v1.0
TASK-0002,2026-01-04,Aalborg,Finance,Data Entry,Automated,15.6,1,Yes,Completed,3.9,Neutral,Staff did not trust the first suggestion.,v1.1
TASK-0003,2026-01-07,Odense,Finance,Data Entry,AI-assisted,28.7,3,Yes,Completed,3.0,Neutral,No error was found after review.,v1.2
TASK-0004,2026-01-10,Aarhus,Finance,Data Entry,Manual,40.5,0,No,Completed,4.3,Positive,The automated step failed and required manual work.,v1.0
TASK-0005,2026-01-13,Copenhagen,Finance,Document Check,Automated,25.3,1,Yes,Completed,3.4,Neutral,The result was clear and useful.,v1.1
TASK-0006,2026-01-16,Aalborg,Citizen Services,Document Check,AI-assisted,23.7,0,Yes,Completed,4.2,Positive,Human review caught an important error.,v1.2
TASK-0007,2026-01-19, aalborg ,Citizen Services,Document Check,Manual,52.6,1,No,Completed,3.9,Neutral,The process was faster and staff felt positive.,v1.0
TASK-0008,2026-01-22,Aarhus,Citizen Services,Document Check,Automated,14.1,3,Yes,Completed,3.0,Neutral,The tool was not suitable for this exception.,v1.1
TASK-0009,2026-01-25,Copenhagen,Citizen Services,Scheduling,AI-assisted,27.4,1,Yes,Completed,3.9,Neutral,The task was faster but still needed human review.,v1.2
TASK-0010,2026-01-01,Aalborg,Citizen Services,Scheduling,Automated,36.8,1,Yes,Completed,3.8,Neutral,Staff did not trust the first suggestion.,v1.0
TASK-0011,2026-01-04,Odense,HR,Scheduling,AI-assisted,32.8,1,Yes,Completed,3.3,Neutral,No error was found after review.,v1.1
TASK-0012,2026-01-07,Aarhus,HR,Scheduling,Manual,71.7,3,No,Completed,3.6,Neutral,The automated step failed and required manual work.,v1.2
TASK-0013,2026-01-10,Copenhagen,finance ,Status Update,Automated,25.7,1,Yes,Completed,4.0,Positive,The result was clear and useful.,v1.0
TASK-0014,2026-01-13,Aalborg,HR,Status Update,AI-assisted,26.9,3,Yes,Completed,3.2,Neutral,,v1.1
TASK-0015,2026-01-16,Odense,HR,Status Update,Manual,57.0,2,No,Completed,4.8,Positive,The process was faster and staff felt positive.,v1.2
TASK-0016,2026-01-19,Aarhus,Procurement,Status Update,Automated,20.6,1,Yes,Completed,4.0,Positive,The tool was not suitable for this exception.,v1.0
TASK-0017,2026-01-22,Copenhagen,Procurement,Email Triage,AI-assisted,18.6,1,Yes,Completed,3.8,Neutral,The task was faster but still needed human review.,v1.1
TASK-0018,2026-01-25,Aalborg,Procurement,Email Triage,Manual,59.9,0,No,Completed,4.3,Positive,Staff did not trust the first suggestion.,v1.2
TASK-0019,2026-01-01,Odense,Procurement,data entry,AI-assisted,25.5,2,Yes,Completed,3.6,Neutral,No error was found after review.,v1.0
TASK-0020,2026-01-04,Aarhus,Procurement,Email Triage,Manual,25.8,2,No,Completed,3.6,Neutral,The automated step failed and required manual work.,v1.1
TASK-0020,2026-02-07,Copenhagen,Communications,Data Entry,Automated,25.2,3,Yes,Completed,2.8,Concerned,The result was clear and useful.,v1.2
TASK-0022,2026-02-10,Aalborg,Communications,Data Entry,AI-assisted,35.6,3,Yes,Completed,3.2,Neutral,Human review caught an important error.,v1.0
TASK-0023,2026-02-13,Odense,Communications,Data Entry,Manual,44.4,1,No,Completed,3.5,Neutral,The process was faster and staff felt positive.,v1.1
TASK-0024,2026-02-16,Aarhus,Communications,Data Entry,Automated,21.8,1,Yes,Completed,4.5,Positive,The tool was not suitable for this exception.,v1.2
TASK-0025,2026-02-19,Copenhagen,Communications,Document Check,auto,30.8,3,No,Completed,3.1,Neutral,The task was faster but still needed human review.,v1.0
TASK-0026,2026-02-22,Aalborg,Finance,Document Check,Manual,34.6,1,No,Completed,3.4,Neutral,Staff did not trust the first suggestion.,v1.1
TASK-0027,2026-02-25,Odense,Finance,Document Check,Automated,19.6,4,No,Needs correction,2.9,Concerned,No error was found after review.,v1.2
TASK-0028,2026-02-01,Aarhus,Finance,Document Check,Manual,41.0,1,No,Completed,3.2,Neutral,The automated step failed and required manual work.,v1.0
TASK-0029,2026-02-04,Copenhagen,Finance,Scheduling,Automated,13.2,0,Yes,Completed,4.5,Positive,The result was clear and useful.,v1.1
TASK-0030,2026-02-07,Aalborg,Finance,Scheduling,AI-assisted,2.0,1,No,Completed,4.0,Positive,Human review caught an important error.,v1.2
